row_hash,issue_code,affected_scope,affected_from,affected_to,decision,severity,signal_blocking,details
f16a05cb9c3e83f9,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-07,2021-10-07,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0174461088783340}"
85798e3cc5283931,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-07,2021-10-07,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0433121019108280}"
73149ffad09c384e,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-08,2021-10-08,QUARANTINE,WARNING,False,"{""factor_ratio"":1.2430107526881720}"
43bf0a2445bc8b79,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-13,2021-10-13,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9584859584859584}"
391f5a7da5b3a13a,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-14,2021-10-14,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0174461088783340}"
e695e70606740dbd,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-14,2021-10-14,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0433121019108280}"
5b95def44c5faf4f,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-15,2021-10-15,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9843260188087773}"
4645680c09a2ac60,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-18,2021-10-18,QUARANTINE,WARNING,False,"{""factor_ratio"":0.2000000000000000}"
101a47e24027690e,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-18,2021-10-18,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9869826734895412}"
47292ac1c93ad0c6,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-19,2021-10-19,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0174461088783340}"
70707024a9aed4f8,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-21,2021-10-21,QUARANTINE,WARNING,False,"{""factor_ratio"":0.8736842105263157}"
fbfd905acd50ad77,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-21,2021-10-21,QUARANTINE,WARNING,False,"{""factor_ratio"":1.4499033397773482}"
48859dfecf8238e5,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-25,2021-10-25,QUARANTINE,WARNING,False,"{""factor_ratio"":1.1105651105651106}"
02691d79c3b9614e,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-26,2021-10-26,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9748367674877448}"
1ae797ae25290204,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-29,2021-10-29,QUARANTINE,WARNING,False,"{""factor_ratio"":0.6041666666666666}"
4b5e9ead5308eaf1,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-29,2021-10-29,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0187162902690552}"
2463f9abaa48f52b,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-11-04,2021-11-04,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9877777777777778}"
e836b2ef60ee26b0,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-11-04,2021-11-04,QUARANTINE,WARNING,False,"{""factor_ratio"":1.1151079136690647}"
56ca960ab6a4b863,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-11-11,2021-11-11,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0602409638554215}"
809afd5cb752d9a7,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-11-12,2021-11-12,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9534883720930232}"
ff1fb171a4c41485,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-11-16,2021-11-16,QUARANTINE,WARNING,False,"{""factor_ratio"":1.5325393961265488}"
1a02fe1517cfb54f,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-11-25,2021-11-25,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9857142857142857}"
